bench_name,bench_throughput,language,fmax
map,1,verilog,386.4
map,1,vhdl,306.84
map,2,verilog,385.65
map,2,vhdl,285.96
map,4,verilog,348.8
map,4,vhdl,365.5
map,5,verilog,347.83
map,5,vhdl,288.1
map,8,verilog,305.16
map,8,vhdl,238.49
map,10,verilog,327.55
map,10,vhdl,287.94
map,20,verilog,339.9
map,20,vhdl,259.74
map,40,verilog,
map,40,vhdl,
map,200,verilog,
map,200,vhdl,
sum,1/840,verilog,223.91
sum,1/840,vhdl,250.44
sum,1/420,verilog,235.74
sum,1/420,vhdl,224.11
sum,1/280,verilog,228.05
sum,1/280,vhdl,223.06
sum,1/210,verilog,157.13
sum,1/210,vhdl,216.64
sum,1/168,verilog,169.87
sum,1/168,vhdl,220.95
sum,1/140,verilog,154.11
sum,1/140,vhdl,223.96
sum,1/120,verilog,168.46
sum,1/120,vhdl,220.07
sum,1/105,verilog,117.56
sum,1/105,vhdl,225.38
dot,1/840,verilog,220.02
dot,1/840,vhdl,253.29
dot,1/420,verilog,220.02
dot,1/420,vhdl,220.02
dot,1/280,verilog,220.02
dot,1/280,vhdl,248.94
dot,1/210,verilog,213.54
dot,1/210,vhdl,243.37
dot,1/168,verilog,220.02
dot,1/168,vhdl,257.93
dot,1/140,verilog,186.85
dot,1/140,vhdl,173.4
dot,1/120,verilog,180.41
dot,1/120,vhdl,182.22
dot,1/105,verilog,151.4
dot,1/105,vhdl,188.75
